CMake File,Target,Dependencies
.\vcpkg\ports\nana\CMakeLists.txt,nana,"c++experimental, stdc++fs, Threads::Threads, Freetype::Freetype, ${X11_LIBRARIES}, ${X11_Xft_LIB}, Fontconfig::Fontconfig, PNG::PNG, $<BUILD_INTERFACE:${JPEG_LIBRARIES}>"
.\vcpkg\ports\nanobench\CMakeLists.txt,nanobench,
.\vcpkg\ports\nanobench\CMakeLists.txt,nanobench::nanobench,
.\vcpkg\ports\nanovg\CMakeLists.txt,nanovg,
.\vcpkg\ports\nayuki-qr-code-generator\CMakeLists.txt,nayuki-qr-code-generator,
.\vcpkg\ports\nlohmann-fifo-map\CMakeLists.txt,${NLOHMANN_FIFO_MAP_TARGET_NAME},
.\vcpkg\ports\nlohmann-fifo-map\CMakeLists.txt,${PROJECT_NAME}::${NLOHMANN_FIFO_MAP_TARGET_NAME},
.\vcpkg\ports\nonius\CMakeLists.txt,nonius,
.\vcpkg\ports\nuklear\CMakeLists.txt,nuklear,
.\vcpkg\ports\opencsg\CMakeLists.txt,opencsg,GLEW::GLEW
.\vcpkg\ports\openctm\CMakeLists.txt,openctm,7zip::7zip
.\vcpkg\ports\openfbx\CMakeLists.txt,openfbx,"$<IF:$<TARGET_EXISTS:libdeflate::libdeflate_shared>,libdeflate::libdeflate_shared,libdeflate::libdeflate_static>"
.\vcpkg\ports\openfx\CMakeLists.txt,OpenFx,
.\vcpkg\ports\openfx\CMakeLists.txt,OfxSupport,OpenFx
.\vcpkg\ports\perfetto\CMakeLists.txt,perfetto,"Threads::Threads, log, ws2_32"
.\vcpkg\ports\pffft\CMakeLists.txt,pffft,
.\vcpkg\ports\piex\CMakeLists.txt,binary_parse,
.\vcpkg\ports\piex\CMakeLists.txt,image_type_recognition,binary_parse
.\vcpkg\ports\piex\CMakeLists.txt,tiff_directory,binary_parse
.\vcpkg\ports\piex\CMakeLists.txt,piex,"tiff_directory, image_type_recognition, binary_parse"
.\vcpkg\ports\plib\CMakeLists.txt,plib_fnt,
.\vcpkg\ports\plib\CMakeLists.txt,plib_js,
.\vcpkg\ports\plib\CMakeLists.txt,plib_net,
.\vcpkg\ports\plib\CMakeLists.txt,plib_psl,
.\vcpkg\ports\plib\CMakeLists.txt,plib_puAux,
.\vcpkg\ports\plib\CMakeLists.txt,plib_pui,
.\vcpkg\ports\plib\CMakeLists.txt,plib_pw,
.\vcpkg\ports\plib\CMakeLists.txt,plib_sg,
.\vcpkg\ports\plib\CMakeLists.txt,plib_sl,
.\vcpkg\ports\plib\CMakeLists.txt,plib_ssg,
.\vcpkg\ports\plib\CMakeLists.txt,plib_ssgAux,
.\vcpkg\ports\plib\CMakeLists.txt,plib_ul,
